  STN,YYYYMMDD,   TX
  260,20180621,  177
  260,20180622,  168
  260,20180623,  200
  260,20180624,  177
  260,20180625,  214
  260,20180626,  215
  260,20180627,  245
  260,20180628,  270
  260,20180629,  261
  260,20180630,  279
  260,20180701,  265
  260,20180702,  269
  260,20180703,  260
  260,20180704,  252
  260,20180705,  243
  260,20180706,  252
  260,20180707,  249
  260,20180708,  244
  260,20180709,  227
  260,20180710,  217
  260,20180711,  227
  260,20180712,  246
  260,20180713,  243
  260,20180714,  249
  260,20180715,  287
  260,20180716,  297
  260,20180717,  260
  260,20180718,  253
  260,20180719,  259
  260,20180720,  252
  260,20180721,  268
  260,20180722,  272
  260,20180723,  297
  260,20180724,  319
  260,20180725,  302
  260,20180726,  357
  260,20180727,  354
  260,20180728,  242
  260,20180729,  267
  260,20180730,  306
  260,20180731,  266
  260,20180801,  276
  260,20180802,  297
  260,20180803,  307
  260,20180804,  283
  260,20180805,  255
  260,20180806,  313
  260,20180807,  339
  260,20180808,  232
  260,20180809,  230
  260,20180810,  211
  260,20180811,  209
  260,20180812,  271
  260,20180813,  226
  260,20180814,  224
  260,20180815,  226
  260,20180816,  236
  260,20180817,  232
  260,20180818,  217
  260,20180819,  227
  260,20180820,  231
  260,20180821,  258
  260,20180822,  253
  260,20180823,  222
  260,20180824,  198
  260,20180825,  168
  260,20180826,  196
  260,20180827,  193
  260,20180828,  213
  260,20180829,  197
  260,20180830,  199
  260,20180831,  180
  260,20180901,  208
  260,20180902,  225
  260,20180903,  222
  260,20180904,  253
  260,20180905,  228
  260,20180906,  190
  260,20180907,  174
  260,20180908,  184
  260,20180909,  236
  260,20180910,  201
  260,20180911,  226
  260,20180912,  184
  260,20180913,  195
  260,20180914,  199
  260,20180915,  203
  260,20180916,  224
  260,20180917,  242
  260,20180918,  246
  260,20180919,  236
  260,20180920,  236
