country:text,date:text,obsValue:number
Albania,2004,28.0
Albania,2005,31.0
Albania,2006,32.0
Albania,2007,33.0
Albania,2008,33.0
Albania,2009,31.0
Albania,2010,32.0
Albania,2011,31.0
Albania,2012,35.0
Albania,2013,33.0
Albania,2014,32.0
Albania,2015,35.0
Albania,Target 2020,38.0
Austria,2004,23.0
Austria,2005,24.0
Austria,2006,25.0
Austria,2007,27.0
Austria,2008,28.0
Austria,2009,30.0
Austria,2010,30.0
Austria,2011,31.0
Austria,2012,31.0
Austria,2013,32.0
Austria,2014,33.0
Austria,2015,33.0
Austria,Target 2020,34.0
Belgium,2004,2.0
Belgium,2005,2.0
Belgium,2006,3.0
Belgium,2007,3.0
Belgium,2008,4.0
Belgium,2009,5.0
Belgium,2010,6.0
Belgium,2011,6.0
Belgium,2012,7.0
Belgium,2013,8.0
Belgium,2014,8.0
Belgium,2015,8.0
Belgium,Target 2020,13.0
Bulgaria,2004,9.0
Bulgaria,2005,9.0
Bulgaria,2006,10.0
Bulgaria,2007,9.0
Bulgaria,2008,11.0
Bulgaria,2009,12.0
Bulgaria,2010,14.0
Bulgaria,2011,14.0
Bulgaria,2012,16.0
Bulgaria,2013,19.0
Bulgaria,2014,18.0
Bulgaria,2015,18.0
Bulgaria,Target 2020,16.0
Croatia,2004,24.0
Croatia,2005,24.0
Croatia,2006,23.0
Croatia,2007,22.0
Croatia,2008,22.0
Croatia,2009,24.0
Croatia,2010,25.0
Croatia,2011,25.0
Croatia,2012,27.0
Croatia,2013,28.0
Croatia,2014,28.0
Croatia,2015,29.0
Croatia,Target 2020,20.0
Cyprus,2004,3.0
Cyprus,2005,3.0
Cyprus,2006,3.0
Cyprus,2007,4.0
Cyprus,2008,5.0
Cyprus,2009,6.0
Cyprus,2010,6.0
Cyprus,2011,6.0
Cyprus,2012,7.0
Cyprus,2013,8.0
Cyprus,2014,9.0
Cyprus,2015,9.0
Cyprus,Target 2020,13.0
Czech Republic,2004,7.0
Czech Republic,2005,7.0
Czech Republic,2006,7.0
Czech Republic,2007,8.0
Czech Republic,2008,9.0
Czech Republic,2009,10.0
Czech Republic,2010,11.0
Czech Republic,2011,11.0
Czech Republic,2012,13.0
Czech Republic,2013,14.0
Czech Republic,2014,15.0
Czech Republic,2015,15.0
Czech Republic,Target 2020,13.0
Denmark,2004,15.0
Denmark,2005,16.0
Denmark,2006,16.0
Denmark,2007,18.0
Denmark,2008,19.0
Denmark,2009,20.0
Denmark,2010,22.0
Denmark,2011,24.0
Denmark,2012,26.0
Denmark,2013,27.0
Denmark,2014,29.0
Denmark,2015,31.0
Denmark,Target 2020,30.0
Estonia,2004,18.0
Estonia,2005,18.0
Estonia,2006,16.0
Estonia,2007,17.0
Estonia,2008,19.0
Estonia,2009,23.0
Estonia,2010,25.0
Estonia,2011,26.0
Estonia,2012,26.0
Estonia,2013,26.0
Estonia,2014,26.0
Estonia,2015,29.0
Estonia,Target 2020,25.0
European Union (27 countries),Target 2020,20.0
European Union (28 countries),2004,9.0
European Union (28 countries),2005,9.0
European Union (28 countries),2006,10.0
European Union (28 countries),2007,10.0
European Union (28 countries),2008,11.0
European Union (28 countries),2009,12.0
European Union (28 countries),2010,13.0
European Union (28 countries),2011,13.0
European Union (28 countries),2012,14.0
European Union (28 countries),2013,15.0
European Union (28 countries),2014,16.0
European Union (28 countries),2015,17.0
European Union (28 countries),Target 2020,20.0
Finland,2004,29.0
Finland,2005,29.0
Finland,2006,30.0
Finland,2007,30.0
Finland,2008,31.0
Finland,2009,31.0
Finland,2010,32.0
Finland,2011,33.0
Finland,2012,34.0
Finland,2013,37.0
Finland,2014,39.0
Finland,2015,39.0
Finland,Target 2020,38.0
"Former Yugoslav Republic of Macedonia, the",2004,16.0
"Former Yugoslav Republic of Macedonia, the",2005,17.0
"Former Yugoslav Republic of Macedonia, the",2006,17.0
"Former Yugoslav Republic of Macedonia, the",2007,15.0
"Former Yugoslav Republic of Macedonia, the",2008,16.0
"Former Yugoslav Republic of Macedonia, the",2009,17.0
"Former Yugoslav Republic of Macedonia, the",2010,17.0
"Former Yugoslav Republic of Macedonia, the",2011,16.0
"Former Yugoslav Republic of Macedonia, the",2012,18.0
"Former Yugoslav Republic of Macedonia, the",2013,19.0
"Former Yugoslav Republic of Macedonia, the",2014,20.0
"Former Yugoslav Republic of Macedonia, the",2015,20.0
"Former Yugoslav Republic of Macedonia, the",Target 2020,28.0
France,2004,9.0
France,2005,10.0
France,2006,9.0
France,2007,10.0
France,2008,11.0
France,2009,12.0
France,2010,13.0
France,2011,11.0
France,2012,13.0
France,2013,14.0
France,2014,15.0
France,2015,15.0
France,Target 2020,23.0
Germany,2004,6.0
Germany,2005,7.0
Germany,2006,8.0
Germany,2007,9.0
Germany,2008,9.0
Germany,2009,10.0
Germany,2010,11.0
Germany,2011,11.0
Germany,2012,12.0
Germany,2013,12.0
Germany,2014,14.0
Germany,2015,15.0
Germany,Target 2020,18.0
Greece,2004,7.0
Greece,2005,7.0
Greece,2006,7.0
Greece,2007,8.0
Greece,2008,8.0
Greece,2009,9.0
Greece,2010,10.0
Greece,2011,11.0
Greece,2012,14.0
Greece,2013,15.0
Greece,2014,15.0
Greece,2015,15.0
Greece,Target 2020,18.0
Hungary,2004,4.0
Hungary,2005,5.0
Hungary,2006,5.0
Hungary,2007,6.0
Hungary,2008,7.0
Hungary,2009,8.0
Hungary,2010,13.0
Hungary,2011,14.0
Hungary,2012,16.0
Hungary,2013,16.0
Hungary,2014,15.0
Hungary,2015,15.0
Hungary,Target 2020,13.0
Iceland,2004,59.0
Iceland,2005,60.0
Iceland,2006,61.0
Iceland,2007,72.0
Iceland,2008,68.0
Iceland,2009,70.0
Iceland,2010,70.0
Iceland,2011,72.0
Iceland,2012,73.0
Iceland,2013,72.0
Iceland,2014,71.0
Iceland,2015,70.0
Iceland,Target 2020,64.0
Ireland,2004,2.0
Ireland,2005,3.0
Ireland,2006,3.0
Ireland,2007,4.0
Ireland,2008,4.0
Ireland,2009,5.0
Ireland,2010,6.0
Ireland,2011,7.0
Ireland,2012,7.0
Ireland,2013,8.0
Ireland,2014,9.0
Ireland,2015,9.0
Ireland,Target 2020,16.0
